department,coa_id,account_name,hierarchy_path,parent_coa_id,is_residual,mapping_note,synonyms
Summary,S12.noi,EBITDA Less Replacement Reserve (NOI),,,FALSE,Do not invent when absent or zero.,net operating income|EBITDA less replacement reserve
Rooms,S1.discount,Discount,Total Rooms Revenue > Transient Rooms Revenue > Discount,S1.transient_rooms_revenue,FALSE,Includes package,promotions | opaque | package
Rooms,S1.negotiated,Negotiated,Total Rooms Revenue > Transient Rooms Revenue > Negotiated,S1.transient_rooms_revenue,FALSE,typically corporate transient rates,LNR
Rooms,S1.qualified,Qualified,Total Rooms Revenue > Transient Rooms Revenue > Qualified,S1.transient_rooms_revenue,FALSE,Government transient maps here; government group maps to Government.,government transient | AAA | loyalty redemptions
Rooms,S1.retail,Retail,Total Rooms Revenue > Transient Rooms Revenue > Retail,S1.transient_rooms_revenue,FALSE,"Includes consortia like amex, chase, virtuoso and Internet Non-Opaque",best available rate|rack rate|internet non-opaque
Rooms,S1.wholesale,Wholesale,Total Rooms Revenue > Transient Rooms Revenue > Wholesale,S1.transient_rooms_revenue,FALSE,,transient tour and travel
Rooms,S1.transient_rooms_revenue,Transient Rooms Revenue,Total Rooms Revenue > Transient Rooms Revenue,S1.total_rooms_revenue,FALSE,,
Rooms,S1.association_convention,Association/Convention,Total Rooms Revenue > Group Rooms Revenue > Association/Convention,S1.group_rooms_revenue,FALSE,,
Rooms,S1.corporate,Corporate,Total Rooms Revenue > Group Rooms Revenue > Corporate,S1.group_rooms_revenue,FALSE,,
Rooms,S1.government,Government,Total Rooms Revenue > Group Rooms Revenue > Government,S1.group_rooms_revenue,FALSE,,
Rooms,S1.smerf,SMERF,Total Rooms Revenue > Group Rooms Revenue > SMERF,S1.group_rooms_revenue,FALSE,,social military educational religious fraternal
Rooms,S1.tour_wholesalers,Tour/Wholesalers,Total Rooms Revenue > Group Rooms Revenue > Tour/Wholesalers,S1.group_rooms_revenue,FALSE,,
Rooms,S1.group_rooms_revenue,Group Rooms Revenue,Total Rooms Revenue > Group Rooms Revenue,S1.total_rooms_revenue,FALSE,,
Rooms,S1.contract_rooms_revenue,Contract Rooms Revenue,Total Rooms Revenue > Contract Rooms Revenue,S1.total_rooms_revenue,FALSE,,crew rooms|airline crew
Rooms,S1.other_rooms_revenue,Other Rooms Revenue,Total Rooms Revenue > Other Rooms Revenue,S1.total_rooms_revenue,TRUE,,
Rooms,S1.allowances_and_breakage,Allowances and Breakage,Total Rooms Revenue > Allowances and Breakage,S1.total_rooms_revenue,FALSE,,
Rooms,S1.total_rooms_revenue,Total Rooms Revenue,,,FALSE,,
Rooms,S1.management,Management,Total Rooms Expenses > Labor Costs and Related Expenses > Salaries and Wages > Management,S1.salaries_and_wages,FALSE,Managers only; exclude supervisors.,
Rooms,S1.complimentary_f_b,Complimentary F&B,Total Rooms Expenses > Labor Costs and Related Expenses > Salaries and Wages > Nonmanagement > Complimentary F&B,S1.nonmanagement,FALSE,,
Rooms,S1.front_office,Front Office,Total Rooms Expenses > Labor Costs and Related Expenses > Salaries and Wages > Nonmanagement > Front Office,S1.nonmanagement,FALSE,,
Rooms,S1.guest_services,Guest Services,Total Rooms Expenses > Labor Costs and Related Expenses > Salaries and Wages > Nonmanagement > Guest Services,S1.nonmanagement,FALSE,,
Rooms,S1.housekeeping,Housekeeping,Total Rooms Expenses > Labor Costs and Related Expenses > Salaries and Wages > Nonmanagement > Housekeeping,S1.nonmanagement,FALSE,"Housekeeping management maps to Management, not Housekeeping.",
Rooms,S1.laundry,Laundry,Total Rooms Expenses > Labor Costs and Related Expenses > Salaries and Wages > Nonmanagement > Laundry,S1.nonmanagement,FALSE,,
Rooms,S1.reservations_labor,Reservations Labor,Total Rooms Expenses > Labor Costs and Related Expenses > Salaries and Wages > Nonmanagement > Reservations Labor,S1.nonmanagement,FALSE,,
Rooms,S1.transportation,Transportation,Total Rooms Expenses > Labor Costs and Related Expenses > Salaries and Wages > Nonmanagement > Transportation,S1.nonmanagement,FALSE,,
Rooms,S1.nonmanagement,Nonmanagement,Total Rooms Expenses > Labor Costs and Related Expenses > Salaries and Wages > Nonmanagement,S1.salaries_and_wages,FALSE,Includes supervisors; excludes managers.,supervisors|hourly staff
Rooms,S1.salaries_and_wages,Salaries and Wages,Total Rooms Expenses > Labor Costs and Related Expenses > Salaries and Wages,S1.labor_costs_and_related_expenses,FALSE,,
Rooms,S1.bonuses_and_incentives,Bonuses and Incentives,Total Rooms Expenses > Labor Costs and Related Expenses > Bonuses and Incentives,S1.labor_costs_and_related_expenses,FALSE,,
Rooms,S1.contracted_leased_and_outsourced_labor,"Contracted, Leased and Outsourced Labor","Total Rooms Expenses > Labor Costs and Related Expenses > Contracted, Leased and Outsourced Labor",S1.labor_costs_and_related_expenses,FALSE,,
Rooms,S1.employee_benefits_health_insurance_workers_comp,"Employee Benefits, Health Insurance and Workers' Compensation","Total Rooms Expenses > Labor Costs and Related Expenses > Total Payroll-Related Expenses > Employee Benefits, Health Insurance and Workers' Compensation",S1.total_payroll_related_expenses,FALSE,Includes workers comp; excludes payroll taxes.,employee benefits|health insurance|workers compensation
Rooms,S1.payroll_taxes,Payroll Taxes,Total Rooms Expenses > Labor Costs and Related Expenses > Total Payroll-Related Expenses > Payroll Taxes,S1.total_payroll_related_expenses,FALSE,Excludes workers comp.,FICA|FUTA|SUTA
Rooms,S1.supplemental_pay,Supplemental Pay,Total Rooms Expenses > Labor Costs and Related Expenses > Total Payroll-Related Expenses > Supplemental Pay,S1.total_payroll_related_expenses,FALSE,Include service charge distributions,vacation PTO | sick pay | holiday pay | vacation expense | personal days
Rooms,S1.total_payroll_related_expenses,Total Payroll-Related Expenses,Total Rooms Expenses > Labor Costs and Related Expenses > Total Payroll-Related Expenses,S1.labor_costs_and_related_expenses,FALSE,,
Rooms,S1.labor_costs_and_related_expenses,Labor Costs and Related Expenses,Total Rooms Expenses > Labor Costs and Related Expenses,S1.total_rooms_expenses,FALSE,,
Rooms,S1.commissions,Commissions,Total Rooms Expenses > Other Expenses > Commissions,S1.other_expenses,FALSE,,
Rooms,S1.complimentary_fnb_gifts_services,"Complimentary F&B, Gifts and Services","Total Rooms Expenses > Other Expenses > Complimentary F&B, Gifts and Services",S1.other_expenses,FALSE,"Exclude guest entertainment, guest relations, Guest Ent/Relations, cable TV and amenities.",complimentary food and beverage|complimentary gifts
Rooms,S1.complimentary_in_room_entertainment_cable_tv,Complimentary In-Room Entertainment and Cable TV,Total Rooms Expenses > Other Expenses > Complimentary In-Room Entertainment and Cable TV,S1.other_expenses,FALSE,,cable tv|in-room entertainment|guestroom entertainment
Rooms,S1.corporate_office_reimbursables,Corporate Office Reimbursables,Total Rooms Expenses > Other Expenses > Corporate Office Reimbursables,S1.other_expenses,FALSE,Include cluster services.,cluster services|corporate office allocation
Rooms,S1.dues_and_subscriptions,Dues and Subscriptions,Total Rooms Expenses > Other Expenses > Dues and Subscriptions,S1.other_expenses,FALSE,,
Rooms,S1.contract_services,Contract Services,Total Rooms Expenses > Other Expenses > Contract Services,S1.other_expenses,FALSE,,
Rooms,S1.guest_cleaning_operating_supplies,Guest Cleaning Operating Supplies,Total Rooms Expenses > Other Expenses > Guest Cleaning Operating Supplies,S1.other_expenses,FALSE,All operating supplies should map here. ,guest supplies|room supplies|in room amenities | operating supplies
Rooms,S1.laundry_and_dry_cleaning,Laundry and Dry Cleaning,Total Rooms Expenses > Other Expenses > Laundry and Dry Cleaning,S1.other_expenses,FALSE,exclude linen purchases and uniform laundry,
Rooms,S1.licenses_and_permits,Licenses and Permits,Total Rooms Expenses > Other Expenses > Licenses and Permits,S1.other_expenses,FALSE,,
Rooms,S1.linen,Linen,Total Rooms Expenses > Other Expenses > Linen,S1.other_expenses,FALSE,,
Rooms,S1.all_travel,All Travel,Total Rooms Expenses > Other Expenses > All Travel,S1.other_expenses,FALSE,,T&E|travel and entertainment|travel meals and entertainment | travel other
Rooms,S1.reservations_opex,Reservations OpEx,Total Rooms Expenses > Other Expenses > Reservations OpEx,S1.other_expenses,FALSE,Exclude guest-walk costs. MI Program Services Fund in Rooms opex is not Reservations OpEx.,reservations expense|booking expense
Rooms,S1.rooms_all_other,Rooms All Other,Total Rooms Expenses > Other Expenses > Rooms All Other,S1.other_expenses,TRUE,Includes uniform laundry and guest-walk costs.,
Rooms,S1.other_expenses,Other Expenses,Total Rooms Expenses > Other Expenses,S1.total_rooms_expenses,FALSE,,
Rooms,S1.total_rooms_expenses,Total Rooms Expenses,,,FALSE,,
F&B,S2.venue1_food_revenue,Venue 1 Food Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > Venue 1 Food Revenue,S2.food_revenue,FALSE,,
F&B,S2.venue2_food_revenue,Venue 2 Food Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > Venue 2 Food Revenue,S2.food_revenue,FALSE,,
F&B,S2.venue3_food_revenue,Venue 3 Food Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > Venue 3 Food Revenue,S2.food_revenue,FALSE,,
F&B,S2.venue4_food_revenue,Venue 4 Food Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > Venue 4 Food Revenue,S2.food_revenue,FALSE,,
F&B,S2.venue5_food_revenue,Venue 5 Food Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > Venue 5 Food Revenue,S2.food_revenue,FALSE,,
F&B,S2.venue6_food_revenue,Venue 6 Food Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > Venue 6 Food Revenue,S2.food_revenue,FALSE,,
F&B,S2.venue7_food_revenue,Venue 7 Food Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > Venue 7 Food Revenue,S2.food_revenue,FALSE,,
F&B,S2.venue8_food_revenue,Venue 8 Food Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > Venue 8 Food Revenue,S2.food_revenue,FALSE,,
F&B,S2.venue9_food_revenue,Venue 9 Food Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > Venue 9 Food Revenue,S2.food_revenue,FALSE,,
F&B,S2.venue10_food_revenue,Venue 10 Food Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > Venue 10 Food Revenue,S2.food_revenue,FALSE,,
F&B,S2.banquet_conference_catering_food_revenue,Banquet/Conference/Catering Food Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > Banquet/Conference/Catering Food Revenue,S2.food_revenue,FALSE,Never map to a generic venue.,banquet food|catering food|food - banquets|B&C food
F&B,S2.in_room_dining_food_revenue,In-Room Dining Food Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > In-Room Dining Food Revenue,S2.food_revenue,FALSE,Never map to a generic venue.,in-room dining food|room service food|IRD food
F&B,S2.food_allowances,Food Allowances,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > Food Allowances,S2.food_revenue,FALSE,Allowances may appear below Total Food Revenue.,food discounts|food comps|food revenue adjustment
F&B,S2.food_other,Food Other,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue > Food Other,S2.food_revenue,TRUE,,miscellaneous food revenue
F&B,S2.food_revenue,Food Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Food Revenue,S2.food_and_beverage_revenue,FALSE,Food Allowances is contra-revenue; Food Other is residual; Allowances may appear below Total F&B Revenue.,
F&B,S2.venue1_beverage_revenue,Venue 1 Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > Venue 1 Beverage Revenue,S2.beverage_revenue,FALSE,,
F&B,S2.venue2_beverage_revenue,Venue 2 Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > Venue 2 Beverage Revenue,S2.beverage_revenue,FALSE,,
F&B,S2.venue3_beverage_revenue,Venue 3 Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > Venue 3 Beverage Revenue,S2.beverage_revenue,FALSE,,
F&B,S2.venue4_beverage_revenue,Venue 4 Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > Venue 4 Beverage Revenue,S2.beverage_revenue,FALSE,,
F&B,S2.venue5_beverage_revenue,Venue 5 Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > Venue 5 Beverage Revenue,S2.beverage_revenue,FALSE,,
F&B,S2.venue6_beverage_revenue,Venue 6 Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > Venue 6 Beverage Revenue,S2.beverage_revenue,FALSE,,
F&B,S2.venue7_beverage_revenue,Venue 7 Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > Venue 7 Beverage Revenue,S2.beverage_revenue,FALSE,,
F&B,S2.venue8_beverage_revenue,Venue 8 Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > Venue 8 Beverage Revenue,S2.beverage_revenue,FALSE,,
F&B,S2.venue9_beverage_revenue,Venue 9 Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > Venue 9 Beverage Revenue,S2.beverage_revenue,FALSE,,
F&B,S2.venue10_beverage_revenue,Venue 10 Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > Venue 10 Beverage Revenue,S2.beverage_revenue,FALSE,,
F&B,S2.banquet_conference_catering_beverage_revenue,Banquet/Conference/Catering Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > Banquet/Conference/Catering Beverage Revenue,S2.beverage_revenue,FALSE,Never map to a generic venue.,banquet beverage|catering beverage|beverage - banquets|B&C beverage
F&B,S2.in_room_dining_beverage_revenue,In-Room Dining Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > In-Room Dining Beverage Revenue,S2.beverage_revenue,FALSE,Never map to a generic venue.,in-room dining beverage|room service beverage|IRD beverage
F&B,S2.beverage_allowances,Beverage Allowances,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > Beverage Allowances,S2.beverage_revenue,FALSE,,beverage discounts|beverage comps|beverage revenue adjustment
F&B,S2.beverage_other,Beverage Other,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue > Beverage Other,S2.beverage_revenue,TRUE,,miscellaneous beverage revenue
F&B,S2.beverage_revenue,Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue > Beverage Revenue,S2.food_and_beverage_revenue,FALSE,"Beverage Allowances is contra-revenue; Beverage Other is residual, Allowances may appear below Total F&B Revenue.",
F&B,S2.food_and_beverage_revenue,Food and Beverage Revenue,Total Food and Beverage Revenue > Food and Beverage Revenue,S2.total_food_and_beverage_revenue,FALSE,Rank generic venues by combined net F&B revenue; use matching venue names.,
F&B,S2.audiovisual,Audiovisual,Total Food and Beverage Revenue > Other Revenue > Audiovisual,S2.other_revenue,FALSE,,
F&B,S2.function_room_rental_and_setup_charges,Function Room Rental and Setup Charges,Total Food and Beverage Revenue > Other Revenue > Function Room Rental and Setup Charges,S2.other_revenue,FALSE,Include event fees.,
F&B,S2.surcharges_service_charges_other,"Surcharges, Service Charges and Other","Total Food and Beverage Revenue > Other Revenue > Surcharges, Service Charges and Other",S2.other_revenue,TRUE,Include package revenue.,surcharges|service charges|setup fees
F&B,S2.other_revenue,Other Revenue,Total Food and Beverage Revenue > Other Revenue,S2.total_food_and_beverage_revenue,FALSE,"Non-consumable charges; Surcharges, Service Charges and Other is residual.",
F&B,S2.total_food_and_beverage_revenue,Total Food and Beverage Revenue,,,FALSE,,
F&B,S2.cost_of_food_sales,Cost of Food Sales,Total Food and Beverage Expenses > Total Cost of Sales and Other Revenue > Cost of Food and Beverage Sales > Cost of Food Sales,S2.cost_of_food_and_beverage_sales,FALSE,,
F&B,S2.cost_of_beverage_sales,Cost of Beverage Sales,Total Food and Beverage Expenses > Total Cost of Sales and Other Revenue > Cost of Food and Beverage Sales > Cost of Beverage Sales,S2.cost_of_food_and_beverage_sales,FALSE,,
F&B,S2.cost_of_food_and_beverage_sales,Cost of Food and Beverage Sales,Total Food and Beverage Expenses > Total Cost of Sales and Other Revenue > Cost of Food and Beverage Sales,S2.total_cost_of_sales_and_other_revenue,FALSE,,
F&B,S2.audiovisual_cost,Audiovisual Cost,Total Food and Beverage Expenses > Total Cost of Sales and Other Revenue > Cost of Other Revenue > Audiovisual Cost,S2.cost_of_other_revenue,FALSE,,
F&B,S2.miscellaneous_cost,Miscellaneous Cost,Total Food and Beverage Expenses > Total Cost of Sales and Other Revenue > Cost of Other Revenue > Miscellaneous Cost,S2.cost_of_other_revenue,FALSE,,
F&B,S2.cost_of_other_revenue,Cost of Other Revenue,Total Food and Beverage Expenses > Total Cost of Sales and Other Revenue > Cost of Other Revenue,S2.total_cost_of_sales_and_other_revenue,FALSE,,
F&B,S2.total_cost_of_sales_and_other_revenue,Total Cost of Sales and Other Revenue,Total Food and Beverage Expenses > Total Cost of Sales and Other Revenue,S2.total_food_and_beverage_expenses,FALSE,,
F&B,S2.management,Management,Total Food and Beverage Expenses > Labor Costs and Related Expenses > Salaries and Wages > Management,S2.salaries_and_wages,FALSE,,
F&B,S2.service_management,Service Management,Total Food and Beverage Expenses > Labor Costs and Related Expenses > Salaries and Wages > Management > Service Management,S2.management,FALSE,,
F&B,S2.kitchen_management,Kitchen Management,Total Food and Beverage Expenses > Labor Costs and Related Expenses > Salaries and Wages > Management > Kitchen Management,S2.management,FALSE,,
F&B,S2.nonmanagement,Nonmanagement,Total Food and Beverage Expenses > Labor Costs and Related Expenses > Salaries and Wages > Nonmanagement,S2.salaries_and_wages,FALSE,,
F&B,S2.kitchen_nonmanagement,Kitchen Nonmanagement,Total Food and Beverage Expenses > Labor Costs and Related Expenses > Salaries and Wages > Nonmanagement > Kitchen Nonmanagement,S2.nonmanagement,FALSE,,
F&B,S2.service_nonmanagement,Service Nonmanagement,Total Food and Beverage Expenses > Labor Costs and Related Expenses > Salaries and Wages > Nonmanagement > Service Nonmanagement,S2.nonmanagement,FALSE,,
F&B,S2.salaries_and_wages,Salaries and Wages,Total Food and Beverage Expenses > Labor Costs and Related Expenses > Salaries and Wages,S2.labor_costs_and_related_expenses,FALSE,,
F&B,S2.bonuses_and_incentives,Bonuses and Incentives,Total Food and Beverage Expenses > Labor Costs and Related Expenses > Bonuses and Incentives,S2.labor_costs_and_related_expenses,FALSE,,
F&B,S2.contracted_leased_and_outsourced_labor,"Contracted, Leased and Outsourced Labor","Total Food and Beverage Expenses > Labor Costs and Related Expenses > Contracted, Leased and Outsourced Labor",S2.labor_costs_and_related_expenses,FALSE,,
F&B,S2.service_charge_distribution,Service Charge Distribution,Total Food and Beverage Expenses > Labor Costs and Related Expenses > Service Charge Distribution,S2.labor_costs_and_related_expenses,FALSE,,
F&B,S2.employee_benefits_health_insurance_workers_comp,"Employee Benefits, Health Insurance and Workers' Compensation","Total Food and Beverage Expenses > Labor Costs and Related Expenses > Total Payroll-Related Expenses > Employee Benefits, Health Insurance and Workers' Compensation",S2.total_payroll_related_expenses,FALSE,Includes workers comp; excludes payroll taxes.,employee benefits|health insurance|workers compensation
F&B,S2.payroll_taxes,Payroll Taxes,Total Food and Beverage Expenses > Labor Costs and Related Expenses > Total Payroll-Related Expenses > Payroll Taxes,S2.total_payroll_related_expenses,FALSE,Excludes workers comp.,FICA|FUTA|SUTA
F&B,S2.supplemental_pay,Supplemental Pay,Total Food and Beverage Expenses > Labor Costs and Related Expenses > Total Payroll-Related Expenses > Supplemental Pay,S2.total_payroll_related_expenses,FALSE,,vacation PTO | sick pay | holiday pay | vacation expense | personal days
F&B,S2.total_payroll_related_expenses,Total Payroll-Related Expenses,Total Food and Beverage Expenses > Labor Costs and Related Expenses > Total Payroll-Related Expenses,S2.labor_costs_and_related_expenses,FALSE,,
F&B,S2.labor_costs_and_related_expenses,Labor Costs and Related Expenses,Total Food and Beverage Expenses > Labor Costs and Related Expenses,S2.total_food_and_beverage_expenses,FALSE,,
F&B,S2.other_expenses,Other Expenses,Total Food and Beverage Expenses > Other Expenses,S2.total_food_and_beverage_expenses,FALSE,,
F&B,S2.total_food_and_beverage_expenses,Total Food and Beverage Expenses,,,FALSE,,
OOD,S3.total_parking_revenue,Total Parking Revenue,Total Other Operated Departments Revenue > Total Parking Revenue,S3.total_other_operated_departments_revenue,FALSE,,self parking revenue|valet revenue|garage
OOD,S3.parking_cogs,Parking COGS,Total Other Operated Departments Expenses > Total Parking Expenses > Parking COGS,S3.total_parking_expenses,FALSE,,
OOD,S3.parking_payroll,Parking Payroll,Total Other Operated Departments Expenses > Total Parking Expenses > Parking Payroll,S3.total_parking_expenses,FALSE,Include payroll taxes and benefits.,
OOD,S3.parking_opex,Parking Opex,Total Other Operated Departments Expenses > Total Parking Expenses > Parking Opex,S3.total_parking_expenses,FALSE,,parking expense|valet expense
OOD,S3.total_parking_expenses,Total Parking Expenses,Total Other Operated Departments Expenses > Total Parking Expenses,S3.total_other_operated_departments_expenses,FALSE,,
OOD,S3.spa_merchandise_sales_revenue,Spa Merchandise Sales Revenue,Total Other Operated Departments Revenue > Spa > Spa Merchandise Sales Revenue,S3.spa,FALSE,,
OOD,S3.massage_and_body_treatment_revenue,Massage and Body Treatment Revenue,Total Other Operated Departments Revenue > Spa > Massage and Body Treatment Revenue,S3.spa,FALSE,,
OOD,S3.spa,Spa,Total Other Operated Departments Revenue > Spa,S3.total_other_operated_departments_revenue,FALSE,Spa only; map health club to Recreation.,
OOD,S3.spa_cogs,Spa COGS,Total Other Operated Departments Expenses > Spa Expenses > Spa COGS,S3.spa_expenses,FALSE,,
OOD,S3.spa_payroll,Spa Payroll,Total Other Operated Departments Expenses > Spa Expenses > Spa Payroll,S3.spa_expenses,FALSE,,
OOD,S3.spa_opex,Spa Opex,Total Other Operated Departments Expenses > Spa Expenses > Spa Opex,S3.spa_expenses,FALSE,,
OOD,S3.spa_expenses,Spa Expenses,Total Other Operated Departments Expenses > Spa Expenses,S3.total_other_operated_departments_expenses,FALSE,Spa only; map health club to Recreation.,
OOD,S3.retail_revenue,Retail Revenue,Total Other Operated Departments Revenue > Retail Revenue,S3.total_other_operated_departments_revenue,FALSE,,
OOD,S3.retail_cogs,Retail COGS,Total Other Operated Departments Expenses > Total Retail Expenses > Retail COGS,S3.total_retail_expenses,FALSE,Merchandise cost of sales; not retail opex.,retail cost of sales|merchandise cost
OOD,S3.retail_payroll,Retail Payroll,Total Other Operated Departments Expenses > Total Retail Expenses > Retail Payroll,S3.total_retail_expenses,FALSE,,
OOD,S3.retail_opex,Retail Opex,Total Other Operated Departments Expenses > Total Retail Expenses > Retail Opex,S3.total_retail_expenses,FALSE,,
OOD,S3.total_retail_expenses,Total Retail Expenses,Total Other Operated Departments Expenses > Total Retail Expenses,S3.total_other_operated_departments_expenses,FALSE,,
OOD,S3.recreation_revenue,Recreation Revenue,Total Other Operated Departments Revenue > Recreation Revenue,S3.total_other_operated_departments_revenue,FALSE,Include health club revenue.,health club revenue|fitness center revenue
OOD,S3.recreation_expenses,Recreation Expenses,Total Other Operated Departments Expenses > Recreation Expenses,S3.total_other_operated_departments_expenses,FALSE,Include health club expenses.,health club expenses|fitness center expenses
OOD,S3.minibar_revenue,Minibar Revenue,Total Other Operated Departments Revenue > Minibar Revenue,S3.total_other_operated_departments_revenue,FALSE,,
OOD,S3.minibar_expenses,Minibar Expenses,Total Other Operated Departments Expenses > Minibar Expenses,S3.total_other_operated_departments_expenses,FALSE,,
OOD,S3.total_golf_course_and_pro_shop_revenue,Total Golf Course and Pro Shop Revenue,Total Other Operated Departments Revenue > Total Golf Course and Pro Shop Revenue,S3.total_other_operated_departments_revenue,FALSE,,
OOD,S3.total_golf_course_and_pro_shop_expenses,Total Golf Course and Pro Shop Expenses,Total Other Operated Departments Expenses > Total Golf Course and Pro Shop Expenses,S3.total_other_operated_departments_expenses,FALSE,,
OOD,S3.other_department_revenue,Other Other Operated Department Revenue,Total Other Operated Departments Revenue > Other Other Operated Department Revenue,S3.total_other_operated_departments_revenue,TRUE,,
OOD,S3.other_department_expenses,Other Other Operated Department Expenses,Total Other Operated Departments Expenses > Other Other Operated Department Expenses,S3.total_other_operated_departments_expenses,TRUE,"Miscellaneous income expenses, although they should not be present, can be mapped to this account.",
OOD,S3.total_other_operated_departments_revenue,Total Other Operated Departments Revenue,,,FALSE,"Miscellaneous income expenses, although they should not be present, can be mapped to this account.",
OOD,S3.total_other_operated_departments_expenses,Total Other Operated Departments Expenses,,,FALSE,,
Misc Income,S4.attrition_and_cancellation_fees,Attrition and Cancellation Fees,Total Miscellaneous Income > Attrition and Cancellation Fees,S4.total_miscellaneous_income,FALSE,,
Misc Income,S4.destination_resort_urban_fees,Destination Resort Urban Fees,Total Miscellaneous Income > Destination Resort Urban Fees,S4.total_miscellaneous_income,FALSE,,
Misc Income,S4.space_rental_and_concessions,Space Rental and Concessions,Total Miscellaneous Income > Space Rental and Concessions,S4.total_miscellaneous_income,FALSE,Space or concession rent; exclude commission revenue.,space rental|concession rent
